Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,,Section
ITA-1.6.21,Objecting or opposing a proposed hypothesis,"A possible objection to, or refuting of, the proposed hypothesis.",pūrvapakṣaḥ,पूर्वपक्षः,,,"Unknown"
ITA-1.6.22,Negating or refuting an opposing viewpoint,A statement that negates the argument of the opponent.,pratyutsāraḥ,प्रत्युत्सारः,,,"Unknown"
ITA-1.6.23,Partial description,A brief and incomplete or partial description of an extensive subject.,pradeśaḥ,प्रदेशः,,,"Unknown"
ITA-1.6.24,"Aim, objective",A statement that clarifies the aims and objectives of a proposed activity or action.,prayojanam,प्रयोजनम्,,,"Unknown"
ITA-1.6.25,Contextual repetition,Repetition of a previously cited statement when it acquires relevance in another context.,prasaṅgaḥ,प्रसङ्गः,,,"Unknown"
ITA-1.6.26,"Union, compounding, a structured sentence (syntax)",An arrangement of words and sentences structured and ordered so as to make complete sense.,yogaḥ,योगः,,,"Unknown"
ITA-1.6.27,Supply of ellipsis,A statement in which some word(s) are lacking and have to be correctly surmised and supplied to derive the exact meaning of a sentence in its given context.,vākyaśeṣaḥ,वाक्यशेषः,,,"Unknown"
ITA-1.6.28,Optional instructions,A statement that allows several discretionary options.,vikalpanam,विकल्पनम्,,,"Unknown"
ITA-1.6.29,Sequential narration or enumeration,The narration of a topic in the correct logical sequence.,vidhānam,विधानम्,,,"Unknown"
ITA-1.6.30,Implying the opposite meaning,A statement whose meaning suggests the opposite of its ostensible expression.,viparyayaḥ,विपर्ययः,,,"Unknown"
ITA-1.6.31,Lucid explanation,A statement which develops a subject matter in detail.,vyākhyānam,व्याख्यानम्,,,"Unknown"
ITA-1.6.32,Inconclusive statement,An indefinite statement which leaves its ultimate conclusion in doubt.,saṃśayaḥ,संशयः,,,"Unknown"
ITA-1.6.33,Enlisting one by one,A phrase or paragraph in which things with common characteristics are grouped together and enumerated.,samuccayaḥ,समुच्चयः,,,"Unknown"
ITA-1.6.34,Statement indicating a source,A statement specifying when and where an event occurred.,sambhavaḥ,सम्भवः,,,"Unknown"
ITA-1.6.35,Technical terminology limited to a school of thought,A technical terminology devised and used by only one school of thought.,svasañjñā,स्वसञ्ज्ञा,,,"Unknown"
ITA-1.6.36,Extended reasoning,Extension or extrapolation of an argument or supportive reasoning from a different context.,hetvarthaḥ,हेत्वर्थः,,,"Unknown"
ITA-1.6.37,Source of meaning,The word or part of a sentence which encapsulates the actual meaning.,arthāśrayaḥ,अर्थाश्रयः,,,"Unknown"
ITA-1.6.38,"Concept, hypothesis","A conceptual construction, the work of the imagination.",kalpanā,कल्पना,,,"Unknown"
ITA-1.6.39,Inclinations,"Description used to denote a particular inclination, tendency, or habit. Also refers to methods of diagnosis and treatment.",tācchilyam,ताच्छिल्यम्,,,"Unknown"
ITA-1.6.40,"Explanation, commentary","An exegetical commentary on, or explanation of, Ayurvedic texts.",vyākhyā,व्याख्या,,,"Unknown"
ITA-1.7.1,Theory,"An established theory that has been critically examined and accepted by qualified investigators. It may be common to all schools of thought, scripture and branches of science (sarvatantrasiddhantah) or particular to any one of them (pratitantrasiddhantah).",siddhāntaḥ,सिद्धान्तः,,,"Unknown"
ITA-1.7.2,Doctrine,A statement which aims to establish authoritative knowledge based on affirmation or refutation of its evidence; in general Sanskrit literature it means a debate/thesis/ proposition/ argument.,vādaḥ,वादः,,,"Unknown"
ITA-1.7.3,Rules for debate,Technical rules for an argument or debate.,vādamārgaḥ,वादमार्गः,,,"Unknown"
ITA-1.7.4,Unquestionable statement,A statement which has exhausted the scope for further questioning.,ananuyojyam,अननुयोज्यम्,,,"Unknown"
ITA-1.7.5,Question,A question or query raised to challenge the expressive power and scope of a statement and to clarify any ambiguity.,anuyogaḥ,अनुयोगः,,,"Unknown"
ITA-1.7.6,Questionable statement,A statement which is beset with syntactical defects and requires clarification.,anuyojyam,अनुयोज्यम्,,,"Unknown"
ITA-1.7.7,Unquestioning acceptance,"Unconditional acceptance of different positions, including those which are inconclusive.",abhyanujñā,अभ्यनुज्ञा,,,"Unknown"
ITA-1.7.8,Implied meaning,A statement whose derived meaning allows for another interpretation.,arthaprāptiḥ,अर्थप्राप्तिः,,,"Unknown"
ITA-1.7.9,Varying meaning or shifting the topic,A statement that is not relevant or applicable to its context.,arthāntaram,अर्थान्तरम्,,,"Unknown"
ITA-1.7.10,Rejoinder,The response or reply to a challenge or objection.,uttaram,उत्तरम्,,,"Unknown"
ITA-1.7.11,Application of proof,Applying the logic of the proposed example to arrive at a definite conclusion.,upanayaḥ,उपनयः,,,"Unknown"
ITA-1.7.12,Abusive argument,Arguing with the sole intention of finding fault with an opponent's statement.,upālambhaḥ,उपालम्भः,,,"Unknown"
ITA-1.7.13,Perverted or deceitful argument,A specious and verbose statement made with the sole intention of unnerving the opponent.,chalaḥ,छलः,,,"Unknown"
ITA-1.7.14,Defensive argument,A debate in which the speaker resorts to quibbling and illegitimate commentary to argue their own case and refute that of their opponent.,jalpaḥ,जल्पः,,,"Unknown"
ITA-1.7.15,Inquisitiveness,The desire to explore and investigate a particular topic out of curiosity and with the intention of knowing the truth.,jijñāsā,जिज्ञासा,,,"Unknown"
ITA-1.7.16,Discussion amongst peers,A discussion among experts in the field in the manner of a peer-review.,tadvidyasambhāṣā,तद्विद्यसम्भाषा,,,"Unknown"
ITA-1.7.17,"Deduction, conclusion",A deduction or conclusive statement; the final step of inference when affirming a proposed hypothesis.,nigamanam,निगमनम्,,,"Unknown"
ITA-1.7.18,Point of defeat,Behaviour indicating that the opponent has reached the end of their argument and can no longer defend the stated viewpoint.,nigrahasthānam,निग्रहस्थानम्,,,"Unknown"
ITA-1.7.19,Amendment of a faulty statement,Correction of faults or defects revealed in a previous statement.,parihāraḥ,परिहारः,,,"Unknown"
ITA-1.7.20,"Proposition, proposed hypothesis",A statement requiring proof; the first step in the logical or inferential process of proving a hypothesis.,pratijñā,प्रतिज्ञा,,,"Unknown"
ITA-1.7.21,Abandoning the hypothesis,"A shift from the original hypothesis, rejection of an initial statement in response to an opponent's views.",pratijñāhāniḥ,प्रतिज्ञाहानिः,,,"Unknown"
ITA-1.7.22,Proving the alternate hypothesis,Offering a meaning or interpretation contrary to that of the proposed hypothesis.,pratiṣṭhāpanā,प्रतिष्ठापना,,,"Unknown"
ITA-1.7.23,Counter-question,An enquiry or cross-examination based on sequential questions.,pratyanuyogaḥ,प्रत्यनुयोगः,,,"Unknown"
ITA-1.7.24,"Syntax error, defective sentence","A statement deficient in any of the five components of a sentence, thereby resulting in incomplete or distorted expression of meaning.",vākyadoṣaḥ,वाक्यदोषः,,,"Unknown"
ITA-1.7.25,Correct statement,A statement free of any syntactical deficiencies and congruent with its exactly intended meaning.,vākyapraśaṃsā,वाक्यप्रशंसा,,,"Unknown"
ITA-1.7.26,"Hostile debate, offensive argument","A debate in which no counter-thesis is affirmed, and views are refuted without objective examination.",vitaṇḍā,वितण्डा,,,"Unknown"
ITA-1.7.27,Decision,Arriving at a clear and unambiguous decision.,vyavasāyaḥ,व्यवसायः,,,"Unknown"
ITA-1.7.28,Proving the proposed hypothesis,"Justifying a proposition based on sound reason, illustration and conclusion.",sthāpanā,स्थापना,,,"Unknown"
ITA-1.7.29,Proposing the wrong reason,Proposing a fallacious or irrelevant form of reasoning in a given context.,hetvantaram,हेत्वन्तरम्,,,"Unknown"
ITA-1.7.30,Discussion and debate amongst peers,Discussion and debate between peers which is conducted in a friendly spirit and serves to advance knowledge.,tadvidyasaṃbhāṣā,तद्विद्यसंभाषा,,,"Unknown"
ITA-1.7.31,Productive debate,,sandhāyasaṃbhāṣā,सन्धायसंभाषा,,,"Unknown"
ITA-1.7.32,"Unproductive, hostile debate",,vigṛhyasaṃbhāṣā,विगृह्यसंभाषा,,,"Unknown"
ITA-1.8.1,"Investigation, examination",The standard of examination which affirms valid knowledge.,parīkṣā,परीक्षा,,,"Unknown"
ITA-1.8.2,Knowledge,Valid knowledge.,pramā,प्रमा,,,"Unknown"
ITA-1.8.3,"Proof, means of valid cognition or knowledge","The tools which lead to accurate, true knowledge in Ayurveda are direct perception, observation (pratyakṣham), codified knowledge, expert opinion (aptopadesha), inference based on observations (anumana), reasoning, understanding causation (yukti) and analogy (upamana).",pramāṇaḥ,प्रमाणः,,,"Unknown"
ITA-1.8.1.1,"Direct perception, observation",The immediate form of cognition arising from the interaction of the five senses and objects in the world.,pratyakṣam,प्रत्यक्षम्,,,"Unknown"
ITA-1.8.1.2,Contact,"The process in which the object of cognitive organ(s) (indriyartha), cognitive organ (indriya), mind (manas) and soul (atma) acquire direct perception of an object.",sannikarṣaḥ,सन्निकर्षः,,,"Unknown"
ITA-1.8.1.3,Indeterminate perception,"Direct perception, observation without specific details of the cognitive process.",nirvikalpakam,निर्विकल्पकम्,,,"Unknown"
ITA-1.8.1.4,Determinate perception,"Direct perception, observation with specific details of the cognitive process.",savikalpakam,सविकल्पकम्,,,"Unknown"
ITA-1.8.2.1,Inference based on observations,"The process of inference, in which a new conclusion is reached from direct observation by applying reason.",anumānam,अनुमानम्,,,"Unknown"
ITA-1.8.2.2,Inferential knowledge,A conclusion reached from stated premises.,anumitiḥ,अनुमितिः,,,"Unknown"
ITA-1.8.2.3,Fallacious reason,An argument which appears to be fallacious.,ahetuḥ,अहेतुः,,,"Unknown"
ITA-1.8.2.4,Cause or variable,A cause or reason; the immediate cause of an observable event; the pivotal element in the inferential process.,hetu,हेतु,,,"Unknown"
ITA-1.8.2.5,"Cause or variable, independent variable",A cause possessing all formal characteristics which allow it to act as a sufficient reason for the inference of its marked object; the independent variable influencing the dependent variable.,sadhetu,सहेतु,,,"Unknown"
ITA-1.8.2.6,Independent variable,Another term for the independent variable.,sādhana,साधन,,,"Unknown"
ITA-1.8.2.7,Dependent variable,The effect or dependent variable influenced by the independent variable.,sādhya,साध्य,,,"Unknown"
ITA-1.8.2.8,False positive or false negative,A fallacious inference which renders the entire inferential process invalid.,hetvābhāsaḥ,हेत्वाभासः,,,"Unknown"
ITA-1.8.2.9,"Invariable concomitance, sensitivity","The level of sensitivity between cause (hetu) and sign (linga). When the sign is invariably present with the cause (when the symptom is always seen associated with the pathological condition), this is referred to as invariable concomitance or sensitivity.",avinābhāvasaṃbandhaḥ,अविनाभावसंबन्धः,,,"Unknown"
ITA-1.8.2.10,"Non-deviation, specificity",The level of specificity between cause (hetu) and sign (linga). When the sign is coterminous with the cause and no other entity (when the symptom is seen only with a particular pathological condition) this is referred to as non-deviation or specificity.,avyabhicāritva,अव्यभिचारित्व,,,"Unknown"
ITA-1.8.2.11,Inseparable coexistence,"What is inseparable, inherent and essentially unified, e.g. an organic body.",ayutasiddhatvam,अयुतसिद्धत्वम्,,,"Unknown"
ITA-1.8.2.12,Chance effect,"The chance effect by which a medicine appears to cure or relieve the symptoms of a disease, when it is not possible to confirm a clinical outcome is the result of a given course of action.",yadṛcchāsiddhiḥ,यदृच्छासिद्धिः,,,"Unknown"
ITA-1.8.2.13,Real effect,"The real and attributable effect of a medicine or treatment, when it is possible to confirm that a clinical outcome is the result of a given course of action.",prātiniyamikīsiddhiḥ,प्रातिनियमिकीसिद्धिः,,,"Unknown"
ITA-1.8.2.14,Conditional effect,"Relating to or depending on special qualities, limited by particular conditions, valid only under certain suppositions.",aupādhika,औपाधिक,,,"Unknown"
ITA-1.8.2.15,Negative correlation,A type of inference in which perception is obtained by negative concomitance (erroneous congruence between two premises).,kevalavyatireki-anumānam,केवलव्यतिरेकि-अनुमानम्,,,"Unknown"
ITA-1.8.2.16,Positive correlation,A type of inference in which perception is obtained by positive concomitance (veridical congruence between two premises).,kevalānvayi-anumānam,केवलान्वयि-अनुमानम्,,,"Unknown"
ITA-1.8.2.17,Speculative reasoning or debate,A method of speculative reasoning or debate.,tarkaḥ,तर्कः,,,"Unknown"
ITA-1.8.2.18,Inference for self,Obtaining the proof of inference for oneself.,svārthānumānam,स्वार्थानुमानम्,,,"Unknown"
ITA-1.8.2.19,Inference for others,Obtaining the proof of inference for others.,parārthānumānam,परार्थानुमानम्,,,"Unknown"
ITA-1.8.2.20,Improper reason appearing identical to the subject,Improper reasoning while making an inference in a particular context; a fallacy of inference; one of the ahetu.,prakaraṇasamaḥ,प्रकरणसमः,,,"Unknown"
ITA-1.8.2.21,Inference based on analogy,The process of drawing an inference based on an analogy.,parāmarśaḥ,परामर्शः,,,"Unknown"
ITA-1.8.2.22,Subject under investigation,The context in which a cause-and-effect relationship has not been affirmed but is being examined or investigated.,pakṣaḥ,पक्षः,,,"Unknown"
ITA-1.8.2.23,Context in which a cause-and-effect relationship is affirmed,"Figuratively, an accommodating context or environment.",sapakṣaḥ,सपक्षः,,,"Unknown"
ITA-1.8.2.24,Context in which a cause-and-effect relationship is negated,"Figuratively, an adversarial context or environment.",vipakṣaḥ,विपक्षः,,,"Unknown"
ITA-1.8.2.25,Invariable concomitance,A condition pertaining to the logical conditions of inference in which minor terms uniformly exist in the same loci as major terms.,vyāptiḥ,व्याप्तिः,,,"Unknown"
ITA-1.8.2.26,Negative invariable concomitance,A condition pertaining to the logical conditions of inference in which minor terms do not exist in all loci with major terms.,vyatirekavyāptiḥ,व्यतिरेकव्याप्तिः,,,"Unknown"
ITA-1.8.2.27,Five-stepped syllogism,"A collective term used for deriving intended inference based on five syllogistic steps, namely: proposition/declaration (pratijna), means/reason or cause for obtaining knowledge (hetu), example (drishtanta/audaharana), comparison between proposition and example (upanaya) and establishment of the statement (nigamana).",pañcāvayava-vākyam,पञ्चावयव-वाक्यम्,,,"Unknown"
ITA-1.8.2.28,Categorical examples,An illustration or example which can be understood by both expert and lay person.,udāharaṇam,उदाहरणम्,,,"Unknown"
ITA-1.8.2.29,Causative agent,"The agent which initiates action independently; also denoted as cause (hetu) or doer (karma). It may be of three types: inherent cause (samavayikarana), non-inherent cause (asamavayi-karana) and efficient cause (nimitta-karana).",kāraṇam,कारणम्,,,"Unknown"
ITA-1.8.2.30,Inherent cause,"Of the three types of cause (karana), inherent cause is the most essential: it denotes the causal substrate or substance in which an effect occurs (through inherence).",samavāyikāraṇam,समवायिकारणम्,,,"Unknown"
ITA-1.8.2.31,Non-inherent cause,"This type of cause includes only qualities (including relational qualities) that inhere in the causal substrate and are causally relevant to the effect, e.g. coloured threads in the appearance of a piece of cloth.",asamavāyi-kāraṇam,असमवायि-कारणम्,,,"Unknown"
ITA-1.8.2.32,Efficient cause,"This type of cause includes all other factors that are causally relevant to the effect in question. A potter, along with his wheel, rod and tools can be regarded as the ""efficient"" cause of the effect, a pot. This resembles the cause of the same name in Aristotelianism.",nimitta-kāraṇam,निमित्त-कारणम्,,,"Unknown"
ITA-1.8.3.1,"Codified knowledge, expert opinion",Statement of an authority or expert in a particular field.,āptopadeśaḥ,आप्तोपदेशः,,,"Unknown"
ITA-1.8.3.2,"Reasoning, understanding causation",The perception of the multiplicity of factors behind a phenomenon or event.,yuktiḥ,युक्तिः,,,"Unknown"
ITA-1.8.3.3,Analogy,"A Sanskrit term which literally means ""comparison""; the fourth of the five means (pramaṇa) by which valid cognition of the world is possible.",upamānaḥ,उपमानः,,,"Unknown"
ITA-1.8.3.4,"Object of knowledge, the object of investigation",The objects of enquiry in any given discipline or field.,prameyaḥ,प्रमेयः,,,"Unknown"
ITA-1.8.3.5,Object denoted by a word,"Etymologically ""the meaning or referent of a word"", it is applied to any entity that is knowable and nameable, i.e. an object of experience.",padārthaḥ,पदार्थः,,,"Unknown"
ITA-1.9.1,Six ontological categories of an object,"The object of experience is subdivided into six fundamental categories: generality (samanyam), particularity (vishesham), substance (dravyam), quality (gunah), action (karma), and inherence (samavayaḥ).",ṣaṭ-padārthāḥ,षट्-पदार्थाः,,,"Unknown"
ITA-1.9.1.1,"Generality, shared feature","Denotes the universal or class-essence. The principle of similarity may identify a commonality among different substances, qualities and actions.",sāmānyam,सामान्यम्,,,"Unknown"
ITA-1.9.1.2,Similarity at the level of substance,"Substance is the substratum of qualities and actions and the material cause of all composite things. This term denotes the similarity between substances, e.g. flesh to replenish and nourish muscle tissue.",dravya-sāmānyam,द्रव्य-सामान्यम्,,,"Unknown"
ITA-1.9.1.3,Similarity at the level of qualities or properties,"Quality exists in substance. This term denotes the similarity in quality exhibited by different substances, e.g. semen and milk.",guṇa-sāmānyam,गुण-सामान्यम्,,,"Unknown"
ITA-1.9.1.4,Similarity at the level of action,Action or physical movement which may lead to an increase in a specific element. e.g. sleep increasing kapha.,karma-sāmānyam,कर्म-सामान्यम्,,,"Unknown"
ITA-1.9.2.1,"Particularity, distinct feature","The unique individuality of the substances. An attribute that causes depletion or decrease (hrasahetu), as well as diversity and dissimilarity (prthaktva).",viśeṣam,विशेषम्,,,"Unknown"
ITA-1.9.2.2,Dissimilarity at the level of substance,A substance which on consumption or usage may lead to a decrease in a specific element or attribute in the living system.,dravya-viśeṣaḥ,द्रव्य-विशेषः,,,"Unknown"
ITA-1.9.2.3,Dissimilarity at the level of quality,"Qualities with opposing actions which result in one of them being depleted, e.g. the pacification of vata with usage of sesame oil owing to its opposite qualities.",guṇa-viśeṣaḥ,गुण-विशेषः,,,"Unknown"
ITA-1.9.2.4,Dissimilarity at the level of action,"An activity which causes depletion or reduction, e.g. physical exercise reducing kapha, which otherwise would increase with inactivity.",karma-viśeṣaḥ,कर्म-विशेषः,,,"Unknown"
ITA-1.9.3.1,"Substance, entity",Matter.,dravyam,द्रव्यम्,,,"Unknown"
ITA-1.9.3.1.1,Causal material,"A group of nine elementary causal substances that underlie the manifestation of all other substances, namely five basic elements (space, air, fire, water and earth), self (atma), mind (manas), time (kala) and direction (dik).",kāraṇadravyam,कारणद्रव्यम्,,,"Unknown"
ITA-1.9.3.1.2,Five elements,"The five elements (panchamahabhuta) 1. Space (akasha); 2. air (vayu); 3. fire (tejas, agni); 4. water (jalam); and 5. earth (prithvi).",pañcamahābhūta,पञ्चमहाभूत,,,"Unknown"
ITA-1.9.3.1.3,Space element,"Characterized by non-obstruction and responsible for the space occupied by all substances. It is the substratum of sound, perceived by the ears.",ākāśaḥ,आकाशः,,,"Unknown"
ITA-1.9.3.1.4,Air element,"Responsible for movement, acts as the substratum of touch perceived by skin.",vāyuḥ,वायुः,,,"Unknown"
ITA-1.9.3.1.5,Fire element,"Responsible for heat, acts as the substratum for form and vision, perceived by the eyes.",Tejaḥ,तेजः,,,"Unknown"
ITA-1.9.3.1.6,Water element,"Responsible for cohesion and fluidity, acts as the substratum of taste, perceived by the tongue.",jalam,जलम्,,,"Unknown"
ITA-1.9.3.1.7,Earth element,"Responsible for mass and the force of attraction. It acts as the substratum of smell, perceived by the nose.",pṛthvi,पृथ्वी,,,"Unknown"
ITA-1.9.3.1.8,"Rudimentary, undifferentiated element",Subtle physical state of all five elements from which a gross element (mahabhuta) is produced.,tanmātrā,तन्मात्रा,,,"Unknown"
ITA-1.9.3.2.1,Self,"Soul, the principle of life and sensation, the individual self, the conscious element in the human body.",ātmā,आत्मा,,,"Unknown"
ITA-1.9.3.2.2,Self-embodied being,"The soul in association with the living body, the vital principle as the proximate cause of life and action.",bhūtātmā,भूतात्मा,,,"Unknown"
