Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,
ITA-1.7.23,Counter-question,An enquiry or cross-examination based on sequential questions.,pratyanuyogaḥ,प्रत्यनुयोगः,,
ITA-1.7.24,"Syntax error, defective sentence","A statement deficient in any of the five components of a sentence, thereby resulting in incomplete or distorted expression of meaning.",vākyadoṣaḥ,वाक्यदोषः,,
ITA-1.7.25,Correct statement,A statement free of any syntactical deficiencies and congruent with its exactly intended meaning.,vākyapraśaṃsā,वाक्यप्रशंसा,,
ITA-1.7.26,"Hostile debate, offensive argument","A debate in which no counter-thesis is affirmed, and views are refuted without objective examination.",vitaṇḍā,वितण्डा,,
ITA-1.7.27,Decision,Arriving at a clear and unambiguous decision.,vyavasāyaḥ,व्यवसायः,,
ITA-1.7.28,Proving the proposed hypothesis,"Justifying a proposition based on sound reason, illustration and conclusion.",sthāpanā,स्थापना,,
ITA-1.7.29,Proposing the wrong reason,Proposing a fallacious or irrelevant form of reasoning in a given context.,hetvantaram,हेत्वन्तरम्,,
ITA-1.7.30,Discussion and debate amongst peers,Discussion and debate between peers which is conducted in a friendly spirit and serves to advance knowledge.,tadvidyasaṃbhāṣā,तद्विद्यसंभाषा,,
ITA-1.7.31,Productive debate,,sandhāyasaṃbhāṣā,सन्धायसंभाषा,,
ITA-1.7.32,"Unproductive, hostile debate",,vigṛhyasaṃbhāṣā,विगृह्यसंभाषा,,
ITA-1.8.1,"Investigation, examination",The standard of examination which affirms valid knowledge.,parīkṣā,परीक्षा,,
ITA-1.8.2,Knowledge,Valid knowledge.,pramā,प्रमा,,
ITA-1.8.3,"Proof, means of valid cognition or knowledge","The tools which lead to accurate, true knowledge in Ayurveda are direct perception, observation (pratyakṣham), codified knowledge, expert opinion (aptopadesha), inference based on observations (anumana), reasoning, understanding causation (yukti) and analogy (upamana).",pramāṇaḥ,प्रमाणः,,
ITA-1.8.1.1,"Direct perception, observation",The immediate form of cognition arising from the interaction of the five senses and objects in the world.,pratyakṣam,प्रत्यक्षम्,,
ITA-1.8.1.2,Contact,"The process in which the object of cognitive organ(s) (indriyartha), cognitive organ (indriya), mind (manas) and soul (atma) acquire direct perception of an object.",sannikarṣaḥ,सन्निकर्षः,,
ITA-1.8.1.3,Indeterminate perception,"Direct perception, observation without specific details of the cognitive process.",nirvikalpakam,निर्विकल्पकम्,,
ITA-1.8.1.4,Determinate perception,"Direct perception, observation with specific details of the cognitive process.",savikalpakam,सविकल्पकम्,,
ITA-1.8.2.1,Inference based on observations,"The process of inference, in which a new conclusion is reached from direct observation by applying reason.",anumānam,अनुमानम्,,
ITA-1.8.2.2,Inferential knowledge,A conclusion reached from stated premises.,anumitiḥ,अनुमितिः,,
ITA-1.8.2.3,Fallacious reason,An argument which appears to be fallacious.,ahetuḥ,अहेतुः,,
ITA-1.8.2.4,Cause or variable,A cause or reason; the immediate cause of an observable event; the pivotal element in the inferential process.,hetu,हेतु,,
ITA-1.8.2.5,"Cause or variable, independent variable",A cause possessing all formal characteristics which allow it to act as a sufficient reason for the inference of its marked object; the independent variable influencing the dependent variable.,sadhetu,सहेतु,,
ITA-1.8.2.6,Independent variable,Another term for the independent variable.,sādhana,साधन,,
ITA-1.8.2.7,Dependent variable,The effect or dependent variable influenced by the independent variable.,sādhya,साध्य,,
ITA-1.8.2.8,False positive or false negative,A fallacious inference which renders the entire inferential process invalid.,hetvābhāsaḥ,हेत्वाभासः,,
ITA-1.8.2.9,"Invariable concomitance, sensitivity","The level of sensitivity between cause (hetu) and sign (linga). When the sign is invariably present with the cause (when the symptom is always seen associated with the pathological condition), this is referred to as invariable concomitance or sensitivity.",avinābhāvasaṃbandhaḥ,अविनाभावसंबन्धः,,
ITA-1.8.2.10,"Non-deviation, specificity",The level of specificity between cause (hetu) and sign (linga). When the sign is coterminous with the cause and no other entity (when the symptom is seen only with a particular pathological condition) this is referred to as non-deviation or specificity.,avyabhicāritva,अव्यभिचारित्व,,
ITA-1.8.2.11,Inseparable coexistence,"What is inseparable, inherent and essentially unified, e.g. an organic body.",ayutasiddhatvam,अयुतसिद्धत्वम्,,
ITA-1.8.2.12,Chance effect,"The chance effect by which a medicine appears to cure or relieve the symptoms of a disease, when it is not possible to confirm a clinical outcome is the result of a given course of action.",yadṛcchāsiddhiḥ,यदृच्छासिद्धिः,,
ITA-1.8.2.13,Real effect,"The real and attributable effect of a medicine or treatment, when it is possible to confirm that a clinical outcome is the result of a given course of action.",prātiniyamikīsiddhiḥ,प्रातिनियमिकीसिद्धिः,,
ITA-1.8.2.14,Conditional effect,"Relating to or depending on special qualities, limited by particular conditions, valid only under certain suppositions.",aupādhika,औपाधिक,,
ITA-1.8.2.15,Negative correlation,A type of inference in which perception is obtained by negative concomitance (erroneous congruence between two premises).,kevalavyatireki-anumānam,केवलव्यतिरेकि-अनुमानम्,,
ITA-1.8.2.16,Positive correlation,A type of inference in which perception is obtained by positive concomitance (veridical congruence between two premises).,kevalānvayi-anumānam,केवलान्वयि-अनुमानम्,,
ITA-1.8.2.17,Speculative reasoning or debate,A method of speculative reasoning or debate.,tarkaḥ,तर्कः,,
ITA-1.8.2.18,Inference for self,Obtaining the proof of inference for oneself.,svārthānumānam,स्वार्थानुमानम्,,
ITA-1.8.2.19,Inference for others,Obtaining the proof of inference for others.,parārthānumānam,परार्थानुमानम्,,
ITA-1.8.2.20,Improper reason appearing identical to the subject,Improper reasoning while making an inference in a particular context; a fallacy of inference; one of the ahetu.,prakaraṇasamaḥ,प्रकरणसमः,,
ITA-1.8.2.21,Inference based on analogy,The process of drawing an inference based on an analogy.,parāmarśaḥ,परामर्शः,,
ITA-1.8.2.22,Subject under investigation,The context in which a cause-and-effect relationship has not been affirmed but is being examined or investigated.,pakṣaḥ,पक्षः,,
ITA-1.8.2.23,Context in which a cause-and-effect relationship is affirmed,"Figuratively, an accommodating context or environment.",sapakṣaḥ,सपक्षः,,
ITA-1.8.2.24,Context in which a cause-and-effect relationship is negated,"Figuratively, an adversarial context or environment.",vipakṣaḥ,विपक्षः,,
ITA-1.8.2.25,Invariable concomitance,A condition pertaining to the logical conditions of inference in which minor terms uniformly exist in the same loci as major terms.,vyāptiḥ,व्याप्तिः,,
ITA-1.8.2.26,Negative invariable concomitance,A condition pertaining to the logical conditions of inference in which minor terms do not exist in all loci with major terms.,vyatirekavyāptiḥ,व्यतिरेकव्याप्तिः,,
ITA-1.8.2.27,Five-stepped syllogism,"A collective term used for deriving intended inference based on five syllogistic steps, namely: proposition/declaration (pratijna), means/reason or cause for obtaining knowledge (hetu), example (drishtanta/audaharana), comparison between proposition and example (upanaya) and establishment of the statement (nigamana).",pañcāvayava-vākyam,पञ्चावयव-वाक्यम्,,
ITA-1.8.2.28,Categorical examples,An illustration or example which can be understood by both expert and lay person.,udāharaṇam,उदाहरणम्,,
ITA-1.8.2.29,Causative agent,"The agent which initiates action independently; also denoted as cause (hetu) or doer (karma). It may be of three types: inherent cause (samavayikarana), non-inherent cause (asamavayi-karana) and efficient cause (nimitta-karana).",kāraṇam,कारणम्,,
ITA-1.8.2.30,Inherent cause,"Of the three types of cause (karana), inherent cause is the most essential: it denotes the causal substrate or substance in which an effect occurs (through inherence).",samavāyikāraṇam,समवायिकारणम्,,
ITA-1.8.2.31,Non-inherent cause,"This type of cause includes only qualities (including relational qualities) that inhere in the causal substrate and are causally relevant to the effect, e.g. coloured threads in the appearance of a piece of cloth.",asamavāyi-kāraṇam,असमवायि-कारणम्,,
ITA-1.8.2.32,Efficient cause,"This type of cause includes all other factors that are causally relevant to the effect in question. A potter, along with his wheel, rod and tools can be regarded as the ""efficient"" cause of the effect, a pot. This resembles the cause of the same name in Aristotelianism.",nimitta-kāraṇam,निमित्त-कारणम्,,
ITA-1.8.3.1,"Codified knowledge, expert opinion",Statement of an authority or expert in a particular field.,āptopadeśaḥ,आप्तोपदेशः,,
ITA-1.8.3.2,"Reasoning, understanding causation",The perception of the multiplicity of factors behind a phenomenon or event.,yuktiḥ,युक्तिः,,
ITA-1.8.3.3,Analogy,"A Sanskrit term which literally means ""comparison""; the fourth of the five means (pramaṇa) by which valid cognition of the world is possible.",upamānaḥ,उपमानः,,
ITA-1.8.3.4,"Object of knowledge, the object of investigation",The objects of enquiry in any given discipline or field.,prameyaḥ,प्रमेयः,,
ITA-1.8.3.5,Object denoted by a word,"Etymologically ""the meaning or referent of a word"", it is applied to any entity that is knowable and nameable, i.e. an object of experience.",padārthaḥ,पदार्थः,,
ITA-1.9.1,Six ontological categories of an object,"The object of experience is subdivided into six fundamental categories: generality (samanyam), particularity (vishesham), substance (dravyam), quality (gunah), action (karma), and inherence (samavayaḥ).",ṣaṭ-padārthāḥ,षट्-पदार्थाः,,
ITA-1.9.1.1,"Generality, shared feature","Denotes the universal or class-essence. The principle of similarity may identify a commonality among different substances, qualities and actions.",sāmānyam,सामान्यम्,,
ITA-1.9.1.2,Similarity at the level of substance,"Substance is the substratum of qualities and actions and the material cause of all composite things. This term denotes the similarity between substances, e.g. flesh to replenish and nourish muscle tissue.",dravya-sāmānyam,द्रव्य-सामान्यम्,,
ITA-1.9.1.3,Similarity at the level of qualities or properties,"Quality exists in substance. This term denotes the similarity in quality exhibited by different substances, e.g. semen and milk.",guṇa-sāmānyam,गुण-सामान्यम्,,
ITA-1.9.1.4,Similarity at the level of action,Action or physical movement which may lead to an increase in a specific element. e.g. sleep increasing kapha.,karma-sāmānyam,कर्म-सामान्यम्,,
ITA-1.9.2.1,"Particularity, distinct feature","The unique individuality of the substances. An attribute that causes depletion or decrease (hrasahetu), as well as diversity and dissimilarity (prthaktva).",viśeṣam,विशेषम्,,
ITA-1.9.2.2,Dissimilarity at the level of substance,A substance which on consumption or usage may lead to a decrease in a specific element or attribute in the living system.,dravya-viśeṣaḥ,द्रव्य-विशेषः,,
ITA-1.9.2.3,Dissimilarity at the level of quality,"Qualities with opposing actions which result in one of them being depleted, e.g. the pacification of vata with usage of sesame oil owing to its opposite qualities.",guṇa-viśeṣaḥ,गुण-विशेषः,,
ITA-1.9.2.4,Dissimilarity at the level of action,"An activity which causes depletion or reduction, e.g. physical exercise reducing kapha, which otherwise would increase with inactivity.",karma-viśeṣaḥ,कर्म-विशेषः,,
ITA-1.9.3.1,"Substance, entity",Matter.,dravyam,द्रव्यम्,,
ITA-1.9.3.1.1,Causal material,"A group of nine elementary causal substances that underlie the manifestation of all other substances, namely five basic elements (space, air, fire, water and earth), self (atma), mind (manas), time (kala) and direction (dik).",kāraṇadravyam,कारणद्रव्यम्,,
ITA-1.9.3.1.2,Five elements,"The five elements (panchamahabhuta) 1. Space (akasha); 2. air (vayu); 3. fire (tejas, agni); 4. water (jalam); and 5. earth (prithvi).",pañcamahābhūta,पञ्चमहाभूत,,
ITA-1.9.3.1.3,Space element,"Characterized by non-obstruction and responsible for the space occupied by all substances. It is the substratum of sound, perceived by the ears.",ākāśaḥ,आकाशः,,
ITA-1.9.3.1.4,Air element,"Responsible for movement, acts as the substratum of touch perceived by skin.",vāyuḥ,वायुः,,
ITA-1.9.3.1.5,Fire element,"Responsible for heat, acts as the substratum for form and vision, perceived by the eyes.",Tejaḥ,तेजः,,
ITA-1.9.3.1.6,Water element,"Responsible for cohesion and fluidity, acts as the substratum of taste, perceived by the tongue.",jalam,जलम्,,
ITA-1.9.3.1.7,Earth element,"Responsible for mass and the force of attraction. It acts as the substratum of smell, perceived by the nose.",pṛthvi,पृथ्वी,,
ITA-1.9.3.1.8,"Rudimentary, undifferentiated element",Subtle physical state of all five elements from which a gross element (mahabhuta) is produced.,tanmātrā,तन्मात्रा,,
ITA-1.9.3.2.1,Self,"Soul, the principle of life and sensation, the individual self, the conscious element in the human body.",ātmā,आत्मा,,
ITA-1.9.3.2.2,Self-embodied being,"The soul in association with the living body, the vital principle as the proximate cause of life and action.",bhūtātmā,भूतात्मा,,
ITA-1.9.3.2.3,"Living being, individual self",The lifelong vital principle.,jīvaḥ,जीवः,,
ITA-1.9.3.2.4,The knower,"Perceiver of knowledge, soul.",jñaḥ,ज्ञः,,
ITA-1.9.3.2.5,"The doer, the executing agent","A word which also denotes soul, but may be used figuratively to denote author or physician.",kartā,कर्ता,,
ITA-1.9.3.2.6,Witness of all actions,The soul (atma) not actively participating in any action but performing the duty of a witness.,sākṣī,साक्षी,,
ITA-1.9.3.2.7,Relating to self,Relating to the soul as the presiding entity over the body.,ādhyātmika,आध्यात्मिक,,
ITA-1.9.3.2.8,"Subtle body, causal body","The subtle body which consists of mind or psyche (manas), sense organs (indriya) and soul (atma) and is devoid of gross body; it is sometimes referred as the causal body or subtle body.",ativāhika-śarīram/ sūkṣmaśarīram/ liṅgaśarīram,अतिवाहिक-शरीरम्/ सूक्ष्मशरीरम् / लिङ्ङ्गशरीरम्,,
ITA-1.9.3.2.9,"Person, living being","The personal and animating principle in all sentient beings, the soul.",puruṣaḥ,पुरुषः,,
ITA-1.9.3.2.10,Complete self-control,"Absolute autonomy, not subject to control by others.",vaśī,वशी,,
ITA-1.9.3.2.11,Person as the object of treatment,"The treatable entity (a person), consisting of five elements and soul.","cikitsya-puruṣaḥ, ṣaḍdhātupuruṣa","चिकित्स्य-पुरुषः, षड्द्धातुपुरुष",,
ITA-1.9.3.2.12,Embodied being composed of 24 elements,"A body composed of 24 elements, namely: 1. eight primordial entities (ashtaprakriti) including unmanifested microcosm (avyakta), all-pervading intelligence (mahat) and the five rudimentary, undifferentiated elements (tanmatra); and 2. sixteen derivatives (shodashavikriti) comprising the five elements, the five organs of sense, five organs of action, and mind.",caturviṃśati-puruṣaḥ,चतुर्विंशति-पुरुषः,,
ITA-1.9.3.2.13,"Invisible, unforeseen","Not experienced, unobserved, unknown, the invisible result of works done in former states of embodied existence; unseen consequences of an act.",adṛṣṭam,अदृष्टम्,,
ITA-1.9.3.2.14,Inactive,"Inactiveness of atma, indicating its principal quality of performing the duty of being a witness to events.",niṣkriyaḥ,निष्क्रियः,,
ITA-1.9.3.2.15,Omnipresent,"Being everywhere, all pervading, an attribute of atma.",vibhu,विभु,,
ITA-1.9.3.2.16,Without beginning,A process or state whose beginning cannot be ascertained.,anādi,अनादि,,
ITA-1.9.3.2.17,Consciousness,"Awareness, conscious self or intelligence.",cetanā/ caitanyam,चेतना / चैतन्यम्,,
